
22.8,27.7,81.1,97.1,1.5,35,1
22.1,28.9,74.1,99,0.7,36,1
22.1,30.2,69.1,100,0.1,37,1
21.9,30.1,68,100,0.9,38,1
21.5,27.6,74,100,0,39,1
22.5,29.3,75,98,0,40,1
22.4,30.5,65,97,0,41,1
22.4,32.5,56,99,0,42,1
23.8,33.7,59,98,17.5,43,1
22.5,33.6,62,97,55.7,44,1
21.8,31.4,70,99,9.1,45,1
22.2,29.5,78,100,18.4,46,1
22.5,30.4,74,100,0.2,47,1
21.7,31.2,69,100,1.6,48,1
21.9,30.5,72,100,59.4,49,1
22.1,28.2,83,100,0,50,1
22.1,27.8,78,99,0,51,1
22,29.9,70,100,1.2,52,1
22.6,29.2,72,98,0,53,1
23,29.1,78,100,0.8,54,1
22.6,28.9,76,100,0,55,1
21.2,30.5,68,100,0.4,56,1
21.2,31.9,68,100,0.2,57,1
22.5,28.7,76,100,1.4,58,1
22.4,28.5,79,100,5.4,59,1
22.5,27.7,83,100,1.2,60,1
22.2,26.3,86,100,2.2,62,2
21.8,26.9,84,100,0,63,2
20.4,30.5,68,100,0.2,64,2
22.1,30.1,68,97,0,65,2
22.9,30.8,63,97,0.4,66,2
21.9,31.7,62,99,0,67,2
20.8,31.8,62,100,0,68,2
23,32.8,63,100,74,69,2
22,33.6,69,100,15.8,70,2
21.7,29.6,82,100,7.4,71,2
19.3,33.6,69,100,2.4,72,2
20.4,32.8,63,100,6.2,73,2
21.95,29.09,59.25,78.76,0.25,74,2
21.79,29.19,59.25,78.85,3.76,75,2
22.08,28.91,58.72,76.46,0.25,76,2
21.45,22,77.29,78.41,0,77,2
21.45,27.13,67.17,78.76,3.25,78,2
22.12,27.22,65.74,78.63,0,79,2
21.69,27.11,63.87,78.65,0.75,80,2
21.49,27.73,63.3,78.76,3.25,81,2
21.26,27.95,64.28,78.65,0.25,82,2
20.49,29.11,57.07,79.33,0.25,83,2
20.1,29.3,55.26,79.22,0,84,2
18.19,31.72,44.28,79.94,0,85,2
20.07,29.92,54.07,79.42,0,86,2
20.23,30.48,50.72,79.48,1.5,87,2
20.23,30.48,50.72,79.48,0,88,2
20.88,29.15,56.19,79.02,0.5,89,2
21.43,29.97,55.7,77.96,10.5,90,2
21.94,29.15,58.82,78.69,32.5,91,0
21.16,30.21,57.26,78.36,0.25,92,0
21,30.84,50.09,79.31,0,93,0
19.33,33.05,44.52,79.59,0,94,0
20.76,35.44,40.71,79.11,23.25,95,0
21.1,35,45.06,77.96,81.75,96,0
21.02,31.74,50.41,77.34,0,97,0
20.87,33.79,43.83,79.55,0,98,0
20.88,33.12,46.74,79.02,11.5,99,0
20.68,34.47,49.49,78.12,4.25,100,0
21.59,32.5,49.55,78.85,0,101,0
21.05,36.23,40.84,79.24,0.25,102,0
20.83,32.05,53.23,79.02,39,103,0
19.17,30.69,40.71,80.4,0.25,104,0
18.29,32.89,45,80.68,0,105,0
21.84,32.77,48.22,78.85,7.5,106,0
21.57,32.82,49.03,79.37,15,107,0
20.79,31.72,49.78,78.69,60,108,0
21.64,33.46,37.38,78.36,0,109,0
21.99,34.83,35.03,79.18,0,110,0
19.69,34.23,32.32,80.12,0,111,0
21,35.17,29.84,79.81,0,112,0
18.44,33.18,35.69,80.85,0,113,0
17.85,32.16,38.9,80.81,0,114,0
17.54,33.58,31.81,80.93,23.5,115,0
19.25,36.11,36.94,80.33,0,116,0
20.6,32.5,46.59,79.77,0,117,0
20.67,33.86,39.42,79.94,3.5,118,0
19.75,31.89,39.42,80.33,0,119,0
22.45,30.61,49,77.96,0,120,0
22.2,31.86,53.43,79.13,1.25,121,0
22.34,34.12,45.83,79.22,0,122,0
22.17,34.02,45.54,79.33,0.5,123,0
22.17,34.02,45.54,79.33,0.5,124,0
20.26,34.02,45.54,79.81,0,125,0
20.23,34.02,45.54,79.81,32.75,126,0
20.23,34.02,44.22,80.14,0,127,0
20.28,32.69,38,80.03,0.25,128,0
18.68,32.11,43.26,79.94,2.5,129,0
17.88,32.27,32.71,80.72,0,130,0
15.73,32.96,22.91,80.33,0,131,0
15.25,32.02,24.83,78.94,0,132,0
13.17,31.47,26.39,79.85,0,133,0
18.76,30.29,37.82,77.61,0,134,0
16.73,30.45,33.6,78.58,0,135,0
15.43,30.7,42.81,79.57,0,136,0
21.55,29.98,50.95,78.8,0.25,137,0
21.41,29.79,51.66,79.02,9.25,138,0
20.61,30.53,50.81,78.41,1,139,0
20.6,31.18,52.08,79.85,23,140,0
19.99,29.11,44.19,78.1,0.25,141,0
20.86,26.84,61.53,78.36,1,142,0
20.49,28.75,54.29,79.85,0.25,143,0
20.01,30.33,53.18,79.94,2.5,144,0
19.81,33.62,44.31,80.27,0,145,0
19.62,34.45,42.23,80.25,0,146,0
20.35,31.67,52.14,79.77,0,147,0
20.02,33.29,45.53,79.81,0,148,0
19.7,33.24,47.32,80.16,0,149,0
19.61,30.59,42.66,79.92,0,150,0
17.77,31.12,45.98,80.7,0,151,0
20.77,30.52,47.67,79.2,0,152,0
19.57,32.02,44.76,80.25,0,153,0
18.35,32.64,41.44,80.48,0,154,0
19.66,31.19,45.35,80.03,0,155,0
17.93,31.13,45,80.55,0,156,0
20.46,30.53,49.89,79.72,1,157,0
19.41,30.88,49.61,79.98,0,158,0
17.08,31.23,45.51,81.02,0,159,0
18.23,31.33,40.53,80.37,0,160,0
16.41,29.55,38.16,78.1,0,161,0
13.54,29.58,35.63,80.42,0,162,0
17.49,30.77,41.41,80.29,0,163,0
15.67,31.13,35.31,81.17,0,164,0
21.9,26.8,82,96,1.6,35,1
21.3,27.8,75,98,0.6,36,1
21.5,30.8,68,97,0,37,1
22.8,29.3,67,98,0.7,38,1
22.4,26.7,74,97,0,39,1
22.9,29.3,73,96,0,40,1
22.5,30.6,63,99,0.1,41,1
22.6,31.6,56,99,0.2,42,1
24.2,34.3,57,98,18.4,43,1
21.6,32.9,64,100,55.3,44,1
21.8,31.6,67,99,9.3,45,1
22.3,29.6,76,99,18.5,46,1
22.6,30.5,73,99,0.1,47,1
22.7,32.2,70,98,1.5,48,1
21.8,30.7,73,99,58.4,49,1
23.1,27.2,84,97,0,50,1
22.1,27.8,78,99,0,51,1
22,29.9,70,100,1.2,52,1
22.6,29.2,72,98,0,53,1
23,29.1,78,100,0.8,54,1
22.6,28.9,76,100,0,55,1
21.2,30.5,68,100,0.4,56,1
21.2,31.9,68,100,0.2,57,1
22.5,28.7,76,100,1.4,58,1
22.4,28.5,79,100,5.4,59,1
22.5,27.7,83,100,1.2,60,1
22.2,26.3,86,100,2.2,62,2
21.8,26.9,84,100,0,63,2
20.4,30.5,68,100,0.2,64,2
22.1,30.1,68,97,0,65,2
22.9,30.8,63,97,0.4,66,2
21.9,31.7,62,99,0,67,2
20.8,31.8,62,100,0,68,2
23,32.8,63,100,74,69,2
22,33.6,69,100,15.8,70,2
21.7,29.6,82,100,7.4,71,2
19.3,33.6,69,100,2.4,72,2
20.4,32.8,63,100,6.2,73,2
15,32,30,91,0,74,2
16,31,28,94,0,75,2
14,30,37,90,0,76,2
17.2,29.7,27,66,0,77,2
16,30,20,55,0,78,2
15.5,30.4,22,46,0,79,2
14.9,31.1,22,44,0,80,2
15.4,30.8,23,47,0,81,2
15,30,23,49,0,82,2
22.49,26.84,66.39,97.32,0,83,2
21.72,26.84,75.82,98.31,0,84,2
